shortcut,artifact
akka-cluster,com.typesafe.akka:akka-cluster%%
akka-http,com.typesafe.akka:akka-http%%
akka-http-argonaut,de.heikoseeberger:akka-http-argonaut%%
akka-http-avro4s,de.heikoseeberger:akka-http-avro4s%%
akka-http-circe,de.heikoseeberger:akka-http-circe%%
akka-http-jackson,de.heikoseeberger:akka-http-jackson%%
akka-http-json4s,de.heikoseeberger:akka-http-json4s%%
akka-http-play-json,de.heikoseeberger:akka-http-play-json%%
akka-http-upickle,de.heikoseeberger:akka-http-upickle%%
akka-persistence,com.typesafe.akka:akka-persistence%%
akka-testkit,com.typesafe.akka:akka-testkit%%
akka-testkit-typed,com.typesafe.akka:akka-testkit-typed%%
apache-httpclient,org.apache.httpcomponents:httpclient
cats-core,org.typelevel:cats-core%%
circe-core,io.circe:circe-core%%
circe-generic,io.circe:circe-generic%%
circe-parser,io.circe:circe-parser%%
commons-io,commons-io:commons-io
dbunit,org.dbunit__dbunit
groovy-all,org.codehaus.groovy:groovy-all
gson,com.google.code.gson:gson
guava-testlib,com.google.guava:guava-testlib
h2,com.h2database:h2
joda-time,joda-time:joda-time
jsr305,com.google.code.findbugs:jsr305
junit,junit:junit
kotlin-test,org.jetbrains.kotlin:kotlin-test
kotlin-test-junit,org.jetbrains.kotlin:kotlin-test-junit
leveldb,org.iq80.leveldb:leveldb
logback-classic,ch.qos.logback:logback-classic
mongodb,org.mongodb:mongodb-driver
mongodb-async,org.mongodb:mongodb-driver-async
mongodb-embedded,de.flapdoodle.embed:de.flapdoodle.embed.mongo
mongodb-scala,org.mongodb.scala:mongo-scala-driver%%
mysql,mysql:mysql-connector-java
play-test,com.typesafe.play:play-test%%
postgresql,org.postgresql:postgresql
quicklens,com.softwaremill.quicklens:quicklens%%
rest-assured,io.rest-assured:rest-assured
retrofit,com.squareup.retrofit2:retrofit
scala-async,org.scala-lang.modules:scala-async%%
scala-compiler,org.scala-lang:scala-compiler
scala-library,org.scala-lang:scala-library
scala-logging,com.typesafe.scala-logging:scala-logging%%
scala-xml,org.scala-lang.modules:scala-xml%%
scalacheck,org.scalacheck:scalacheck%%
scalatest,org.scalatest:scalatest%%
scopt,com.github.scopt:scopt%%
slf4j-api,org.slf4j:slf4j-api
specs2,org.specs2:specs2-core%%
spock,org.spockframework:spock-core
spock-spring,org.spockframework:spock-spring
spring-boot-starter-web,org.springframework.boot:spring-boot-starter-web
testcontainers,org.testcontainers:testcontainers
testcontainers-scala,com.dimafeng:testcontainers-scala%%
testng,org.testng:testng
utest,com.lihaoyi:utest%%
commons-lang3,org.apache.commons:commons-lang3
